offer_id,price_segment,price_rub,pred_rub,residual_rub
330943945,premium,350000,320603.8648763699,29396.135123630113
324260711,comfort,85000,90118.97751752462,-5118.977517524618
330702661,business,100000,107959.51445994244,-7959.514459942438
329982616,econom,59000,61747.11847164281,-2747.1184716428106
257797297,econom,58000,72541.09041525895,-14541.09041525895
316590969,business,70000,88618.40641961257,-18618.40641961257
316666206,comfort,70000,66225.85546284886,3774.1445371511363
307912563,comfort,60000,58387.60650801167,1612.3934919883322
330379121,comfort,80000,84896.92979232378,-4896.9297923237755
330525211,comfort,70000,63932.72320917296,6067.27679082704
330358622,business,65000,53359.50902867584,11640.490971324158
330138116,business,42000,51262.62433580533,-9262.624335805333
329315562,comfort,52000,54270.54047652455,-2270.5404765245476
330377123,econom,60000,63533.89580544387,-3533.89580544387
328878785,econom,55000,63962.86400906545,-8962.864009065452
329876736,comfort,62000,61529.374957274136,470.62504272586375
330697155,premium,190000,187133.7440124093,2866.2559875907027
329920931,comfort,80000,66845.38667473481,13154.613325265193
321438741,premium,265000,230403.447760207,34596.552239793
320748186,econom,86000,86620.51312780887,-620.5131278088666
330788946,econom,70000,80297.21896676662,-10297.218966766624
330620421,comfort,75000,89734.34706499304,-14734.347064993039
329906016,econom,68000,79009.68847520064,-11009.688475200644
330272986,business,100000,93555.1342309701,6444.865769029901
330215412,premium,120000,124499.78202989788,-4499.782029897877
327672954,premium,160000,172397.6080473831,-12397.60804738311
330864856,econom,50000,72301.39807167457,-22301.398071674572
330056052,econom,110000,141173.66286979223,-31173.662869792228
277759782,premium,70000,73037.59340973037,-3037.593409730369
330897973,business,230000,266848.82759838563,-36848.82759838563
318360574,comfort,42000,48917.886897984485,-6917.886897984485
293117099,econom,65000,69114.62874477606,-4114.628744776055
320237484,business,310000,267862.4025923586,42137.59740764141
330603807,premium,65000,49229.37732518025,15770.622674819751
329362673,econom,68000,67105.6639818703,894.336018129703
330404174,business,65000,60671.0381530318,4328.961846968203
330669158,comfort,60000,56354.309720432815,3645.690279567185
313948001,premium,60000,57216.313923577225,2783.686076422775
328895552,business,95000,103476.91411555282,-8476.91411555282
330300081,comfort,80000,73215.03622972191,6784.963770278089
320173190,comfort,36000,41915.54688470739,-5915.5468847073935
329958456,business,160000,221965.2246424512,-61965.22464245121
330854957,econom,55000,54526.653207342446,473.34679265755403
315342484,premium,150000,136207.15628925734,13792.843710742658
330077219,comfort,190000,178866.37935547944,11133.62064452056
280956623,comfort,50000,51357.16105785316,-1357.1610578531618
328339053,business,73000,71142.8617000216,1857.1382999783964
330708353,econom,60000,65039.78258803661,-5039.782588036607
330817850,comfort,65000,76636.80335822474,-11636.803358224744
309997178,business,76000,63870.37862577678,12129.621374223221
330947313,premium,220000,216217.34497531512,3782.6550246848783
327015480,business,250000,269214.9326246029,-19214.932624602923
326904508,business,185000,207282.65725348252,-22282.657253482525
330852888,comfort,90000,92049.834529832,-2049.8345298320055
330726184,premium,95000,92803.4367284197,2196.563271580293
325693892,comfort,70000,82218.64617607479,-12218.646176074792
329785987,premium,71300,57852.16172499501,13447.838275004993
330567801,econom,50000,50882.135455841846,-882.1354558418461
330389308,econom,100000,89129.37787931714,10870.622120682863
330115662,premium,475000,417073.98463093775,57926.015369062254
330554652,premium,100000,87739.92897191463,12260.071028085367
330893120,business,78000,83250.72235009,-5250.72235009
330944355,business,45000,50142.470326052295,-5142.470326052295
325474080,business,90000,106582.41157490216,-16582.41157490216
330809070,business,165000,187664.62943457652,-22664.62943457652
330354299,premium,60000,60897.57478426203,-897.5747842620331
321692279,econom,63000,63014.745028993646,-14.745028993645974
329102283,premium,330000,335286.60148903006,-5286.601489030058
327240072,premium,75000,70470.94416106562,4529.055838934379
166573281,comfort,60000,55456.70847233889,4543.291527661109
328748312,econom,45000,44407.32123472254,592.6787652774583
330291080,premium,90200,80803.5916547898,9396.408345210206
330866597,comfort,115000,142366.47961421974,-27366.479614219745
298034691,business,65000,59455.50070390211,5544.4992960978925
328984455,business,60000,60242.46632273664,-242.46632273664
330929911,econom,50000,49469.89658853266,530.1034114673384
330404996,premium,50000,56735.15676745413,-6735.156767454129
330820868,comfort,52000,42672.39909996101,9327.60090003899
330609502,premium,135000,123692.27130273083,11307.728697269165
328363951,business,250000,234861.28704806147,15138.712951938534
317852360,premium,135000,127086.0213182783,7913.9786817216955
328417194,premium,170000,181544.9348753932,-11544.934875393199
279708272,comfort,50000,44638.90924591761,5361.09075408239
310774590,premium,99000,91247.1696997292,7752.830300270798
299486808,business,85000,93043.02731150037,-8043.027311500366
329626990,econom,60000,59261.85449009121,738.1455099087907
330222288,econom,48000,47626.74833432454,373.25166567545966
330726763,premium,56000,47087.34824300267,8912.65175699733
328903807,premium,87000,98948.23446387758,-11948.234463877583
330327408,business,110000,107041.47917016524,2958.520829834757
330333732,econom,52000,62520.18758675301,-10520.18758675301
329662978,premium,400000,414870.19370791735,-14870.193707917351
330265699,econom,45000,53562.12446199247,-8562.12446199247
329276945,business,100000,98525.59283402417,1474.4071659758338
329406968,econom,90000,123238.70668214472,-33238.70668214472
299509420,comfort,83000,73005.3482230501,9994.651776949904
330786848,econom,80000,122227.43217434506,-42227.43217434506
327818963,econom,55000,55615.18824177971,-615.1882417797096
330075180,premium,75000,70085.54351661947,4914.456483380534
273446335,comfort,55000,57858.91076067166,-2858.910760671657
316692609,business,90000,80481.57791418667,9518.422085813334
307035008,business,149990,192276.474854669,-42286.47485466901
330043556,econom,45000,45615.35440094449,-615.3544009444886
329869225,comfort,53000,56354.25615304074,-3354.25615304074
329982553,comfort,100000,82471.07494434186,17528.92505565814
330003094,business,150000,187678.44256764228,-37678.44256764228
330401137,premium,125000,121624.62466796968,3375.375332030322
288389999,comfort,85000,100178.0310385139,-15178.031038513902
326912183,premium,150000,135817.37638609562,14182.623613904376
317977957,business,40000,40115.09523339779,-115.09523339779116
313735954,premium,330000,249190.706746916,80809.293253084
272607530,comfort,75000,64795.69984391965,10204.300156080353
330628540,econom,40000,45234.4670998891,-5234.4670998891015
330815125,business,50000,53916.43271527127,-3916.432715271272
330440812,comfort,170000,207995.25631466327,-37995.256314663275
330558697,premium,95000,71432.00719134684,23567.992808653158
329122787,econom,55000,54348.051730523366,651.9482694766339
286844794,premium,185000,192649.4929179391,-7649.492917939089
330251560,business,120000,129145.39407604712,-9145.394076047116
322538230,econom,75000,104588.8847272849,-29588.884727284894
330523889,comfort,50000,51894.16189596088,-1894.1618959608822
330422429,econom,59999,73445.53506137215,-13446.535061372153
304111549,premium,80000,62484.09079412576,17515.90920587424
330779547,premium,200000,188795.4247072363,11204.575292763708
319992627,premium,370000,331138.29362133,38861.70637867
330447975,premium,150000,156379.262466025,-6379.262466024986
327860656,premium,210000,227818.96978581915,-17818.96978581915
270636377,premium,400000,389399.72051646287,10600.279483537131
330778372,comfort,70000,67506.30719939976,2493.6928006002418
268690134,econom,62000,74468.20360105556,-12468.20360105556
330444410,business,70000,66649.68439006672,3350.3156099332846
330074624,comfort,80000,58561.55969783224,21438.440302167757
330929073,business,73000,69760.3733972645,3239.6266027355014
328341151,econom,73000,80077.1293848554,-7077.129384855405
330747888,econom,80000,89119.06359312996,-9119.063593129962
328360952,econom,55000,63471.59569791064,-8471.595697910641
327863740,comfort,35000,45635.6148785839,-10635.614878583903
325922435,comfort,210000,242678.31292124305,-32678.31292124305
288093602,econom,45000,50859.94825086118,-5859.948250861184
245408340,econom,115000,169127.44821688143,-54127.44821688143
326482810,business,48000,52713.09961079295,-4713.099610792953
329613099,comfort,100000,92830.2421014147,7169.757898585303
329409679,econom,93000,105526.4357969591,-12526.435796959093
313295597,comfort,50000,59563.436052099,-9563.436052099001
309529445,premium,55000,51740.19316075287,3259.8068392471323
328745482,comfort,85000,90513.54216998511,-5513.542169985114
330624676,econom,45000,47286.170617786345,-2286.1706177863452
329419195,business,75000,75280.25824129094,-280.2582412909396
330867649,business,160000,208113.16844395545,-48113.16844395545
201867708,comfort,55000,60377.45023231248,-5377.450232312483
323342536,comfort,85000,82606.61754685146,2393.3824531485443
330149807,econom,67000,80055.2865822408,-13055.286582240806
330212861,premium,70000,66481.9751326646,3518.024867335407
330535566,comfort,65000,66013.20893787956,-1013.2089378795645
328176116,comfort,77000,77767.13201698987,-767.1320169898681
