rooms,area_sqm,living_area_sqm,kitchen_area_sqm,floor,floors_total,metro_time_min,build_year,prepay_months,rooms_was_missing,living_area_sqm_missing,kitchen_area_sqm_missing,build_year_missing,prepay_months_missing,is_agent,district_grouped_te,metro_grouped_te,repair_type_cosmetic,repair_type_design,repair_type_euro,repair_type_no,repair_type_unknown,house_material_unknown,house_material_Блочный,house_material_Кирпичный,house_material_Монолитно кирпичный,house_material_Монолитный,house_material_Панельный,log_price_rub
2.0,64.0,31.0,10.0,15,17,8.0,2001.0,1.0,0,1,1,1,1,0,10.971973586625806,10.986259282840345,False,False,False,False,True,True,False,False,False,False,False,11.225256725762891
2.0,95.0,45.0,18.0,4,11,20.0,2001.0,1.0,0,0,0,0,0,1,11.46623991191743,11.638702586306508,False,False,True,False,False,False,False,False,False,True,False,11.695255355062796
2.0,64.0,34.0,20.0,7,20,19.0,2001.0,1.0,0,0,0,1,0,1,11.437853178390943,11.35988596916399,False,True,False,False,False,True,False,False,False,False,False,11.775297421715829
1.0,40.0,20.0,10.0,2,24,18.0,2001.0,1.0,0,0,0,1,0,0,11.166954105006937,11.100786142467314,False,False,True,False,False,True,False,False,False,False,False,11.082157933374816
2.0,37.0,17.0,11.0,28,36,20.0,2021.0,1.0,0,0,0,0,0,1,11.710460023731514,11.585474412447516,False,True,False,False,False,True,False,False,False,False,False,11.51293546492023
2.0,43.0,28.0,12.0,20,26,5.0,2023.0,1.0,0,0,0,0,0,0,11.835878363954608,11.588981193053508,False,True,False,False,False,False,False,False,False,True,False,11.918397239722838
1.0,36.0,19.0,17.0,17,24,7.0,2001.0,2.0,0,1,0,1,0,0,11.139450103571626,11.162643424343365,False,False,True,False,False,True,False,False,False,False,False,11.289794413577894
1.0,52.0,35.0,10.0,13,13,20.0,2001.0,1.0,0,0,0,1,0,0,11.03994227161258,11.019801226558073,False,False,True,False,False,True,False,False,False,False,False,11.002116507732016
0.0,30.0,16.0,6.0,5,29,19.0,2020.0,1.0,1,0,0,0,0,1,11.70126226841355,11.757269142318606,False,True,False,False,False,True,False,False,False,False,False,11.60824473564232
3.0,71.0,45.0,10.0,1,16,18.0,1978.0,1.0,0,0,0,0,0,1,11.188654913004468,11.150347231215958,True,False,False,False,False,True,False,False,False,False,False,11.156264806643742
2.0,34.0,31.0,10.0,40,43,12.0,2001.0,2.0,0,1,1,1,0,1,11.710460023731514,11.83430569362014,False,True,False,False,False,True,False,False,False,False,False,11.982935344196433
1.0,34.7,19.0,6.5,5,12,13.0,1973.0,1.0,0,0,0,0,0,0,11.031924115036011,11.053621398047847,False,False,True,False,False,False,False,False,False,False,True,10.819798284210286
3.0,134.0,90.0,25.0,9,21,16.0,2007.0,1.0,0,0,0,0,0,1,11.504631066895532,11.656305669970285,False,False,True,False,False,False,False,False,False,True,False,12.154784614286667
1.0,33.0,19.0,6.0,3,5,8.0,1965.0,1.0,0,0,0,0,0,1,11.47568309006193,11.414695855772184,True,False,False,False,False,False,False,False,False,True,False,10.896757843893464
1.0,39.0,20.0,8.6,4,12,10.0,2004.0,1.0,0,0,0,0,0,1,11.047825743082674,11.105090359046693,False,False,True,False,False,False,False,False,False,False,True,10.819798284210286
1.0,37.2,19.0,15.0,3,24,17.0,2001.0,1.0,0,1,0,1,0,1,11.508760595533868,11.564136848746806,False,True,False,False,False,True,False,False,False,False,False,11.51293546492023
2.0,37.0,25.0,7.0,7,10,2.0,1964.0,1.0,0,0,0,0,0,0,11.198511451391504,11.198993388305412,False,False,True,False,False,False,False,True,False,False,False,11.350418300109132
3.0,76.0,46.0,15.0,22,32,11.0,2016.0,1.0,0,0,0,0,0,0,11.562072173298628,11.710484928446553,False,True,False,False,False,False,False,False,False,True,False,12.206077645517674
4.0,150.0,85.0,16.0,3,7,3.0,1997.0,1.0,0,1,1,0,0,1,12.087206620487938,12.193488756915183,True,False,False,False,False,False,False,True,False,False,False,13.017005083966255
2.0,40.0,20.0,8.0,4,9,14.0,2001.0,1.0,0,0,0,1,0,1,10.90354095564741,11.023245873929426,True,False,False,False,False,True,False,False,False,False,False,10.819798284210286
2.0,56.1,31.0,10.0,20,42,18.0,2024.0,1.0,0,1,1,0,0,1,11.917776620328693,11.888284289062431,False,True,False,False,False,True,False,False,False,False,False,12.206077645517674
2.0,44.7,28.1,10.0,6,9,5.0,1969.0,1.0,0,0,1,0,0,0,11.229415071105773,11.281517638098803,False,False,True,False,False,False,False,False,False,False,True,11.289794413577894
3.0,73.0,55.0,10.0,15,17,5.0,1989.0,1.0,0,0,0,0,0,0,11.207902638499602,11.20953879380791,True,False,False,False,False,False,False,False,False,False,True,11.289794413577894
1.0,37.0,15.0,10.0,12,20,6.0,2019.0,1.0,0,0,0,0,0,0,11.139450103571626,11.155470893765488,False,True,False,False,False,True,False,False,False,False,False,11.289794413577894
1.0,37.2,19.0,7.0,14,17,5.0,2017.0,1.0,0,0,0,0,0,1,11.10956390659661,11.074538131765559,False,False,True,False,False,False,False,False,False,False,True,10.819798284210286
2.0,58.0,32.0,12.0,11,16,12.0,2023.0,1.0,0,0,0,0,0,1,10.818572799672967,11.019801226558073,False,False,True,False,False,True,False,False,False,False,False,10.819798284210286
2.0,70.0,22.0,26.0,8,23,17.0,2001.0,1.0,0,0,0,1,0,1,11.166954105006937,11.23829135089108,False,False,True,False,False,True,False,False,False,False,False,11.31448672129398
